partial;1000;410;90;41;72
partial;1500;359;141;54;72
partial;2000;404;96;57;72
partial;2500;392;108;58;72
partial;3000;389;111;46;72
partial;3500;410;90;49;72
partial;4000;374;126;36;72
partial;4500;367;133;56;72
partial;5000;344;156;43;72
344;156;-1;5.72155;72;30;13
partial;500;329;171;41;73
partial;1000;299;201;59;73
partial;1500;324;176;43;73
partial;2000;284;216;48;73
partial;2500;372;128;62;73
partial;3000;205;295;46;73
partial;3500;304;196;47;73
partial;4000;390;110;42;73
partial;4500;414;86;45;73
partial;5000;450;50;68;73
450;50;-1;6.77098;73;59;9
partial;500;239;261;45;75
partial;1000;128;372;52;75
partial;1500;185;315;53;75
partial;2000;141;359;46;75
partial;2500;40;460;49;75
partial;3000;19;481;51;75
0;500;3362;4.61969;75;0;36
partial;500;31;469;42;77
partial;1000;98;402;48;77
partial;1500;26;474;46;77
0;500;1715;2.0531;77;0;38
partial;500;255;245;50;76
partial;1000;302;198;53;76
partial;1500;313;187;52;76
partial;2000;240;260;46;76
partial;2500;220;280;50;76
partial;3000;367;133;44;76
partial;3500;318;182;57;76
partial;4000;416;84;56;76
partial;4500;498;2;53;76
500;0;4565;5.7515;76;55;0
partial;500;158;342;44;78
partial;1000;218;282;49;78
partial;1500;179;321;54;78
partial;2000;147;353;59;78
partial;2500;392;108;43;78
partial;3000;396;104;52;78
partial;3500;437;63;48;78
500;0;3851;4.47325;78;57;0
partial;500;311;189;53;79
partial;1000;225;275;41;79
partial;1500;240;260;55;79
partial;2000;416;84;46;79
partial;2500;456;44;52;79
partial;3000;409;91;48;79
partial;3500;391;109;46;79
partial;4000;417;83;48;79
partial;4500;430;70;53;79
500;0;4995;6.77063;79;50;0
partial;500;307;193;54;80
partial;1000;299;201;47;80
partial;1500;257;243;45;80
partial;2000;185;315;46;80
partial;2500;240;260;59;80
partial;3000;257;243;45;80
partial;3500;140;360;48;80
partial;4000;60;440;39;80
partial;4500;108;392;49;80
partial;5000;160;340;43;80
160;340;-1;6.41241;80;14;29
partial;500;318;182;49;81
partial;1000;332;168;52;81
partial;1500;286;214;46;81
partial;2000;256;244;53;81
partial;2500;351;149;48;81
partial;3000;396;104;51;81
partial;3500;489;11;43;81
500;0;3804;4.88809;81;47;0
partial;500;425;75;51;85
partial;1000;487;13;48;85
500;0;1470;2.13759;85;45;0
partial;500;306;194;56;82
partial;1000;278;222;52;82
partial;1500;328;172;39;82
partial;2000;158;342;53;82
partial;2500;146;354;44;82
partial;3000;221;279;44;82
partial;3500;390;110;55;82
partial;4000;361;139;41;82
partial;4500;410;90;59;82
partial;5000;470;30;54;82
470;30;-1;6.75497;82;49;5
partial;500;378;122;45;84
partial;1000;403;97;48;84
partial;1500;464;36;55;84
partial;2000;364;136;57;84
partial;2500;305;195;50;84
partial;3000;369;131;49;84
partial;3500;492;8;42;84
partial;4000;476;24;46;84
500;0;4301;5.34971;84;49;0
partial;500;317;183;47;83
partial;1000;152;348;55;83
partial;1500;87;413;40;83
partial;2000;177;323;54;83
partial;2500;73;427;55;83
partial;3000;43;457;53;83
partial;3500;60;440;49;83
partial;4000;26;474;60;83
partial;4500;5;495;55;83
0;500;4550;5.84851;83;0;47
partial;500;188;312;56;86
partial;1000;240;260;46;86
partial;1500;240;260;41;86
partial;2000;303;197;51;86
partial;2500;460;40;46;86
partial;3000;497;3;51;86
500;0;3013;3.9579;86;54;0
partial;500;125;375;51;87
partial;1000;103;397;57;87
partial;1500;80;420;56;87
partial;2000;234;266;54;87
partial;2500;154;346;61;87
partial;3000;322;178;48;87
partial;3500;241;259;49;87
partial;4000;321;179;53;87
partial;4500;153;347;48;87
partial;5000;135;365;40;87
135;365;-1;5.97855;87;12;28
partial;500;105;395;46;89
partial;1000;158;342;56;89
partial;1500;241;259;48;89
partial;2000;264;236;38;89
partial;2500;280;220;47;89
partial;3000;363;137;52;89
partial;3500;373;127;52;89
partial;4000;376;124;46;89
partial;4500;426;74;59;89
500;0;4890;6.65129;89;59;0
partial;500;415;85;55;88
partial;1000;311;189;55;88
partial;1500;334;166;51;88
partial;2000;189;311;54;88
partial;2500;131;369;59;88
